id,title,release_date,release_year,release_month,days_until_release,popularity,vote_average,vote_count,genres,original_language,overview
1277047,The Boy at the Edge of the World,2026-06-26,2026,6,76,0.8053,0.0,0,"Animerat, Familj, Fantasy, Äventyr",pl,"Omul lives with his family on a remote island in the Fire Archipelago. During a beach trip, a storm sweeps Omul and his younger sister Kimi into the sea, where Omul witnesses a mysterious creature threatening Kimi’s soul.  Rescued by a whale, the siblings survive, but Kimi is left in a coma. Omul’s ability to talk to animals becomes crucial as he and his brother – who blames him for the accident – set out to find Sadumea, the mythical figure behind Kimi’s torment.  With their dog Tela, they embark on a dangerous expedition deep into the island to save Kimi…"
1554962,A Great Sailor,2026-06-29,2026,6,79,0.0429,0.0,0,"Fantasy, Animerat",no,A sailor has a lucky catch
1661381,Chasing Shadows,2026-06-30,2026,6,80,0.2244,0.0,0,"Skräck, 53, Fantasy",en,"Heather invites her new friends over for a sleepover of secrets and face masks. But soon, her mistreatment of those around her comes back with a haunting grin, and nowhere to run."
1611912,Naxos,2026-07-01,2026,7,81,0.4006,0.0,0,"Drama, 10749, Fantasy",en,"On a research trip to Greece, Adam slips into a parallel life without marriage, children, or responsibility. With Nysa, a local, he drifts through enchanted freedom while haunted by the life he once took for granted."
1581313,Ananya's Call,2026-07-03,2026,7,83,0.0865,0.0,0,"Fantasy, 53, Sci-Fi",en,"Faced with an impossible encounter in her own home, a young woman must race against time to stop a tragedy that defies the laws of nature."
1642890,Red Anorak,2026-07-07,2026,7,87,0.0411,0.0,0,"Drama, Fantasy, 9648, 10749",es,A film director has a mysterious relationship with a figure wearing a memorable red anorak.
1108427,Moana,2026-07-08,2026,7,88,9.6155,0.0,0,"Familj, Fantasy, Komedi, Äventyr",en,"Prompted by a summons from the ocean, Moana departs her home island of Motunui for the first time and travels past its barrier reef. Accompanied by the demigod Maui, she undertakes a voyage aimed at recovering the well-being of her community."
1654313,Unanswered//butterfly: Sword Art Online,2026-07-09,2026,7,89,1.3324,0.0,0,"Action, Sci-Fi, Animerat, Fantasy, Äventyr",ja,"The world’s first full-dive VRMMO, Sword Art Online—known as SAO. What was meant to be a dream come true has instead transformed into a deadly game where dying in the virtual world means dying in reality. Emirun and Rex, who once knew each other in the real world, reunite by chance within SAO. They join a scouting party to learn how to survive in this unforgiving world. One day, however, they encounter a mysterious PK known only as the Black Swordsman. When Emirun rushes to the scene, she finds Rex collapsed in despair, and the Black Swordsman standing over him. The one who wiped out their entire scouting party... was the Black Swordsman! Determined to avenge their fallen comrades, Emirun and Rex seek out the legendary prodigy swordswoman Asuna, and begin intense training under her guidance. In a death game where even players turn against one another, what new beginning will these two reach at the end of their struggle…?"
1658666,大圣崛起,2026-07-10,2026,7,90,1.6423,0.0,0,"Animerat, Fantasy, Äventyr",zh,
1368337,The Odyssey,2026-07-15,2026,7,95,11.2059,0.0,0,"Äventyr, Drama, Fantasy",en,"Odysseus, the legendary Greek king of Ithaca, embarks on a long and perilous journey home following the Trojan War, chronicling his encounters with mythical beings such as the Cyclops Polyphemus, the Sirens, and the witch-goddess Circe, while attempting to reunite with his wife, Penelope."
