movie_id,company_id,company_name,origin_country
118,174,Warner Bros. Pictures,US
118,79,Village Roadshow Pictures,US
118,80,The Zanuck Company,US
118,81,Plan B Entertainment,US
118,55512,Theobald Film Productions,GB
120,12,New Line Cinema,US
120,11,WingNut Films,NZ
120,5237,The Saul Zaentz Company,US
121,12,New Line Cinema,US
121,11,WingNut Films,NZ
121,5237,The Saul Zaentz Company,US
122,12,New Line Cinema,US
122,11,WingNut Films,NZ
122,5237,The Saul Zaentz Company,US
123,286,Fantasy Films,US
123,4921,Bakshi Productions,US
123,141322,Saul Zaentz Film Productions,
1443961,270896,SriChakraas Entertainments,
1443961,270897,A+S Movies,
1443961,69124,GMB Entertainment,IN
936061,6679,MarVista Entertainment,US
936061,1063,Brightlight Pictures,CA
936061,6345,Lighthouse Pictures,CA
936061,241784,Disney Branded Television,US
128,10342,Studio Ghibli,JP
128,1778,dentsu,JP
128,1779,Tokuma Shoten,JP
128,6755,Nippon Television Network Corporation,JP
128,12516,Nibariki,JP
128,67681,TNDG,
129,10342,Studio Ghibli,JP
129,1779,Tokuma Shoten,JP
129,6755,Nippon Television Network Corporation,JP
129,11847,Mitsubishi,JP
129,1778,dentsu,JP
129,1780,TFC,JP
1611912,153883,Jackpot FIlms,IE
137,5,Columbia Pictures,US
10379,1382,PolyGram Filmed Entertainment,US
10379,10163,Working Title Films,GB
10379,181,Channel Four Films,GB
16523,174,Warner Bros. Pictures,US
16523,923,Legendary Pictures,US
16523,79,Village Roadshow Pictures,US
16523,4171,Playtone,US
16523,213477,KLG Film Invest,DE
16523,279152,Wild Things Productions,US
141,19813,Flower Films,US
141,185,Pandora Cinema,US
141,28,Newmarket Films,US
12429,10342,Studio Ghibli,JP
12429,882,TOHO,JP
12429,6755,Nippon Television Network Corporation,JP
12429,1778,dentsu,JP
12429,11846,Hakuhodo DY Media Partners,JP
12429,164892,The Walt Disney Company (Japan),JP
12429,11847,Mitsubishi,JP
643215,20409,Les Éditions Albert René,FR
643215,83068,Les Enfants Terribles,FR
643215,7981,Pathé,FR
643215,120768,Trésor Films,FR
643215,11773,Artémis Productions,BE
643215,175064,White and Yellow Films,FR
643215,356,TF1 Films Production,FR
144,45,Road Movies,DE
144,6116,Argos films,FR
144,46,WDR,DE
144,36229,Wim Wenders Stiftung,DE
39057,5372,OLM,JP
39057,12653,Pikachu Project,JP
39057,12654,The Pokémon Company,JP
39057,9149,Shogakukan,JP
39057,3034,TV Tokyo,JP
39057,7967,Media Factory,JP
39057,13070,TakaraTomy,JP
39057,8157,jeki,JP
39057,12655,Shogakukan-Shueisha Productions,JP
1007757,115416,Skydance Animation,US
1007757,179999,Skydance Animation,ES
32916,2785,Warner Bros. Animation,US
32916,1353,Hanna-Barbera Cartoons,US
12437,3287,Screen Gems,US
12437,126,Lakeshore Entertainment,US
12437,7738,Sketch Films,US
12437,7739,UW3 Film Productions,
12444,174,Warner Bros. Pictures,US
12444,437,Heyday Films,GB
12445,174,Warner Bros. Pictures,US
12445,437,Heyday Films,GB
360605,146807,GWave Productions,US
360605,240533,Disney Channel,US
162,25,20th Century Fox,US
162,8601,Tim Burton Productions,US
968868,5542,Toei Animation,JP
968868,6075,Studio Deen,JP
968868,5822,Toei Company,JP
968868,59118,Kodansha,JP
968868,4673,King Records,JP
968868,155586,Bandai,JP
86184,9300,TV Asahi,JP
86184,4720,ADK,JP
86184,9149,Shogakukan,JP
86184,5141,Shin-Ei Animation,JP
86184,12655,Shogakukan-Shueisha Productions,JP
86184,15329,Fujiko Productions,JP
682153,15329,Fujiko Productions,JP
682153,5141,Shin-Ei Animation,JP
682153,9149,Shogakukan,JP
682153,9300,TV Asahi,JP
682153,173235,ADK Emotions,JP
682153,12655,Shogakukan-Shueisha Productions,JP
37034,3407,Shanghai Film Group,CN
37034,12206,Edko Management and Consulting,HK
37034,10146,Focus Features,US
37034,10284,Edko Films,HK
936108,24955,Paramount Animation,US
936108,95063,Marcy Media,
936108,152873,Peyo Productions,BE
936108,216687,Domain Entertainment,US
936108,267222,International Motion Picture Studios (IMPS),
936108,267223,Lafig Belgium,
936108,4,Paramount Pictures,US
71676,5,Columbia Pictures,US
71676,20241,Crystal Sky Pictures,US
71676,11370,Michael De Luca Productions,US
71676,1172,Hyde Park Entertainment,US
71676,14439,Arad Productions,US
71676,6736,Image Nation Abu Dhabi,AE
71676,7505,Marvel Entertainment,US
