movie_id,genre_id
244458,27
244458,14
527435,35
527435,12
527435,10751
527435,14
10330,10751
10330,14
10330,35
10330,10749
9078,16
9078,10751
9078,14
927,14
927,27
927,35
397567,28
397567,12
397567,18
397567,14
397567,53
18122,28
18122,14
18122,878
23629,28
23629,14
23629,53
59436,14
59436,35
59436,10749
170687,16
170687,35
170687,10751
170687,14
1147411,16
1147411,10751
1147411,28
1147411,12
1147411,14
779782,14
779782,35
779782,12
10957,16
10957,12
10957,10751
10957,14
9480,14
9480,28
11621,16
11621,12
11621,14
400157,35
400157,16
400157,12
400157,10751
400157,14
458576,28
458576,14
458576,12
1147416,16
1147416,10751
1147416,28
1147416,14
16119,16
16119,10749
16119,10751
16119,14
1019420,10749
1019420,35
1019420,14
16690,12
16690,14
16690,16
16690,10751
13179,16
13179,10751
13179,12
13179,14
258489,14
258489,28
258489,12
1140521,10751
1140521,14
1140521,12
847,14
847,12
847,28
9598,14
9598,18
9598,35
9598,10751
414,28
414,80
414,14
420814,12
420814,35
420814,10751
420814,14
1491,14
1491,18
1491,53
1491,10749
228326,16
228326,12
228326,35
228326,10751
228326,14
6978,28
6978,35
6978,14
6978,12
1319969,12
1319969,14
1319969,35
1319969,10751
160642,10751
160642,16
160642,12
160642,14
160642,35
160642,878
618344,16
618344,28
618344,12
618344,14
506574,10751
506574,10770
506574,12
506574,14
506574,10402
585245,10751
585245,12
585245,35
585245,14
11836,10751
11836,35
11836,12
11836,16
11836,14
183011,16
183011,878
183011,28
183011,12
183011,14
258230,14
258230,12
258230,10751
16996,35
16996,14
16996,18
16996,10749
1139829,16
1139829,10751
1139829,35
1139829,14
1139829,12
49017,27
49017,28
49017,14
25475,16
25475,10751
25475,12
25475,14
13600,12
13600,10751
13600,14
24418,12
24418,14
24418,28
24418,53
856289,28
856289,14
856289,10752
635910,27
635910,14
27022,14
27022,12
27022,28
2897,12
2897,35
2897,10751
2897,14
2897,10749
812225,16
812225,14
812225,28
812225,12
11639,12
11639,10751
11639,14
1729,28
1729,12
1729,14
197796,14
197796,10749
1203329,16
1203329,14
1203329,28
888,14
888,35
888,10751
928,35
928,27
928,14
299824,28
299824,12
299824,14
64686,18
64686,28
64686,14
30959,27
30959,14
30959,18
11814,35
11814,14
11814,878
11814,10749
834,14
834,28
834,53
400106,14
400106,28
400106,53
223702,12
223702,16
223702,35
223702,14
17979,16
17979,14
17979,18
17979,10751
277,14
277,28
277,53
428045,28
428045,12
428045,10751
428045,14
410113,16
410113,10751
410113,35
410113,12
410113,14
47327,14
47327,53
47327,28
47327,80
9297,16
9297,35
9297,10751
9297,14
49730,53
49730,18
49730,14
49730,9648
49730,27
49730,10749
592350,16
592350,28
592350,14
592350,12
4442,12
4442,14
4442,28
4442,35
4442,53
409297,27
409297,14
409297,9648
201223,16
201223,14
201223,9648
201223,27
201223,28
9678,35
9678,14
15999,16
15999,14
15999,27
15999,28
15999,12
15999,878
73456,10751
73456,16
73456,14
2309,12
2309,10751
2309,14
668482,10751
668482,35
668482,14
1034062,16
1034062,28
1034062,14
1034062,12
266647,14
266647,12
266647,10751
266647,28
12437,14
12437,28
12437,53
10280,14
10280,27
19901,28
19901,14
19901,878
10202,14
10202,35
10202,10751
10202,10749
106731,28
106731,12
106731,14
44683,16
44683,12
44683,10751
44683,14
22894,28
22894,14
22894,27
455476,14
455476,28
455476,878
656908,18
656908,14
656908,28
826510,10751
826510,35
826510,12
826510,14
1232569,27
1232569,53
1232569,14
426543,10751
426543,14
426543,12
616747,35
616747,18
616747,14
22586,10751
22586,16
22586,14
22586,12
22586,35
456740,14
456740,27
456740,28
456740,12
776835,16
776835,12
776835,10751
776835,14
776835,35
384345,16
384345,12
384345,14
384345,878
384345,10751
309809,12
309809,16
309809,14
309809,10751
10019,35
10019,10749
10019,14
1636,14
1636,35
1636,10749
9444,16
9444,10751
9444,14
9444,12
338958,35
338958,10751
338958,14
40096,35
40096,18
40096,14
40096,10749
2899,10751
2899,14
2899,35
2899,12
16523,14
16523,18
16523,12
16523,10751
221731,28
221731,12
221731,18
221731,14
6069,35
6069,14
6069,27
375588,12
375588,28
375588,53
375588,14
11845,10749
11845,18
11845,14
9593,12
9593,14
9593,28
9593,35
9593,10751
51739,14
51739,16
51739,10751
8960,14
8960,28
780609,27
780609,53
780609,14
1039960,14
1039960,878
1039960,28
1039960,12
547016,28
547016,14
24420,18
24420,10749
24420,14
601796,878
601796,28
601796,14
601796,12
64530,14
13313,16
13313,10751
13313,14
590995,27
590995,18
590995,14
492,35
492,18
492,14
8871,10751
8871,35
8871,14
15775,18
15775,10749
15775,14
649609,35
649609,14
649609,27
10150,14
10150,16
10150,10751
10150,12
137321,18
137321,14
137321,9648
137321,10749
1166170,35
1166170,10749
1166170,14
176983,16
176983,14
176983,28
176983,12
560044,16
560044,35
560044,10751
560044,14
1147400,16
1147400,10751
1147400,28
1147400,14
68737,12
68737,14
9007,35
9007,10749
9007,14
642885,14
642885,35
926899,16
926899,18
926899,35
926899,27
926899,14
9334,28
9334,12
9334,14
43074,28
43074,14
43074,35
730840,16
730840,14
730840,10751
730840,28
730840,12
11824,35
11824,14
11824,10749
13682,10751
13682,16
13682,35
13682,14
899112,28
899112,35
899112,14
71676,28
71676,14
71676,53
355547,16
355547,35
355547,12
355547,10751
355547,14
518068,28
518068,12
518068,14
518068,53
10991,12
10991,14
10991,16
10991,28
10991,10751
21481,35
21481,18
21481,10751
21481,14
21481,10770
417320,10751
417320,14
417320,10770
417320,12
417320,10402
527261,27
527261,18
527261,53
527261,14
515195,35
515195,14
515195,10402
515195,10749
8840,14
8840,28
8840,12
8840,18
287903,27
287903,35
287903,14
149871,16
149871,18
149871,14
15035,16
15035,14
15035,878
15035,12
675531,27
675531,14
675531,53
37034,28
37034,14
866,18
866,14
1116465,28
1116465,12
1116465,14
894205,28
894205,14
894205,27
1542261,16
1542261,12
1542261,14
1542261,10751
20694,10751
20694,35
20694,12
20694,16
20694,14
893712,16
893712,28
893712,14
893712,878
436931,10751
436931,16
436931,12
436931,14
549649,14
549649,18
549649,35
21290,12
21290,16
21290,18
21290,14
23398,35
23398,10751
23398,16
23398,14
23398,10402
23202,27
23202,14
976720,878
976720,18
976720,12
976720,14
2978,35
2978,14
667520,16
667520,18
667520,10749
667520,14
877269,16
877269,10751
877269,12
877269,14
877269,878
836225,27
836225,80
836225,18
836225,14
839033,16
839033,14
839033,12
839033,28
315465,28
315465,12
315465,16
315465,18
315465,10751
315465,14
876792,16
876792,14
876792,12
994108,10749
994108,18
994108,14
460885,14
460885,28
460885,27
9610,12
9610,14
9610,28
127533,12
127533,28
127533,14
127533,10752
127533,36
8698,14
8698,28
8698,53
8698,878
967847,14
967847,12
967847,35
1243341,14
1243341,10402
1243341,10749
1243341,12
1243341,10751
1243341,35
1243341,10770
9607,12
9607,14
9607,35
9607,10751
588648,16
588648,10751
588648,28
588648,12
588648,14
1242669,18
1242669,9648
1242669,14
529216,53
529216,18
529216,9648
529216,14
535809,10749
535809,18
535809,10770
535809,14
15139,10751
15139,14
15139,16
417859,16
417859,10751
417859,14
417859,12
417859,35
8967,18
8967,14
37430,12
37430,14
37430,28
1253000,14
1253000,28
1253000,12
102780,18
102780,14
102780,53
573730,16
573730,12
573730,14
573730,9648
9945,28
9945,14
9945,27
149509,18
149509,14
149509,53
537059,16
537059,28
537059,878
537059,14
44603,18
44603,14
916192,16
916192,18
916192,10749
916192,14
916192,878
12599,12
12599,14
12599,16
12599,878
12599,10751
460793,16
460793,10751
460793,12
460793,35
460793,14
1260649,14
1260649,12
1260649,35
539517,14
539517,16
539517,27
539517,28
820232,16
820232,28
820232,14
820232,53
1159477,53
1159477,9648
1159477,14
9871,14
9871,27
9871,18
9871,53
463821,35
463821,14
463821,10751
463821,27
463821,9648
283378,18
283378,14
283378,10749
11319,14
11319,10751
11319,16
11319,12
413658,28
413658,12
413658,35
413658,10751
413658,14
14191,14
14191,10749
14191,10751
14191,35
36728,28
36728,12
36728,35
36728,18
36728,14
36728,16
428449,18
428449,14
428449,9648
428449,10749
759175,28
759175,14
439058,10751
439058,35
439058,16
439058,12
439058,10770
439058,14
739990,14
739990,27
739990,10751
1312833,27
1312833,28
1312833,14
350312,28
350312,12
350312,14
9387,12
9387,14
9387,28
161822,12
161822,16
161822,10751
161822,878
161822,35
161822,14
841755,16
841755,28
841755,14
2323,18
2323,14
17581,14
17581,16
17581,28
831395,14
831395,18
778855,16
